,Affix,Root Word,Full Word
756,able,assume,assumable
757,able,astonish,astonishable
758,able,astound,astoundable
759,able,atomize,atomizable
760,able,atone,atonable
761,able,attach,attachable
762,able,attack,attackable
763,able,attain,attainable
764,able,attempt,attemptable
765,able,attend,attendable
766,able,attest,attestable
767,able,attract,attractable
768,able,attribute,attributable
769,able,attune,attunable
770,able,auction,auctionable
771,able,audit,auditable
772,able,augment,augmentable
773,able,aunswer,aunswerable
774,able,authenticate,authenticatable
775,able,author,authorable
776,able,authorise,authorisable
777,able,authorize,authorizable
778,able,autoclave,autoclavable
779,able,automate,automatable
780,able,autoxidise,autoxidisable
781,able,avail,available
782,able,avenge,avengeable
783,able,average,averageable
784,able,aver,averrable
785,able,avert,avertable
786,able,avoid,avoidable
787,able,avouch,avouchable
788,able,avow,avowable
789,able,await,awaitable
790,able,awake,awakable
791,able,awaken,awakenable
792,able,award,awardable
793,able,axiomatise,axiomatisable
794,able,axiomatize,axiomatizable
795,able,back,backable
796,able,backpack,backpackable
797,able,backsolve,backsolvable
798,able,backspace,backspaceable
799,able,backup,backupable
800,able,bag,baggable
801,able,bail,bailable
802,able,bait,baitable
803,able,bake,bakable
804,able,bake,bakeable
805,able,balance,balanceable
806,able,bamboozle,bamboozlable
807,able,bamboozle,bamboozleable
808,able,band,bandable
809,able,bang,bangable
810,able,banish,banishable
811,able,bank,bankable
812,able,ban,bannable
813,able,baptise,baptisable
814,able,baptize,baptizable
815,able,bargain,bargainable
816,able,bar,barrable
817,able,barter,barterable
818,able,bash,bashable
819,able,batch,batchable
820,able,bathe,batheable
821,able,batful,battable
822,able,be,beable
823,able,beat,beatable
824,able,beautify,beautifiable
825,able,bed,beddable
826,able,beg,beggable
827,able,beguile,beguilable
828,able,behead,beheadable
829,able,behoove,behoovable
830,able,benchmark,benchmarkable
831,able,bend,bendable
832,able,benefit,benefitable
833,able,bequeath,bequeathable
834,able,bestow,bestowable
835,able,betray,betrayable
836,able,betroth,betrothable
837,able,bet,bettable
838,able,bewail,bewailable
839,able,bewitch,bewitchable
840,able,bid,biddable
841,able,bike,bikable
842,able,bill,billable
843,able,bind,bindable
844,able,binge,bingeable
845,able,bin,binnable
846,able,bioactivate,bioactivatable
847,able,blacklist,blacklistable
848,able,blackmail,blackmailable
849,able,blanch,blanchable
850,able,blank,blankable
851,able,blast,blastable
852,able,bleach,bleachable
853,able,bleep,bleepable
854,able,blemish,blemishable
855,able,blend,blendable
856,able,bless,blessable
857,able,blind,blindable
858,able,blit,blittable
859,able,block,blockable
860,able,blog,bloggable
861,able,blot,blottable
862,able,blow,blowable
863,able,blueprint,blueprintable
864,able,bluff,bluffable
865,able,blunt,bluntable
866,able,blur,blurrable
867,able,board,boardable
868,able,boat,boatable
869,able,boil,boilable
870,able,bolt,boltable
871,able,bomb,bombable
872,able,bombard,bombardable
873,able,bone,bonable
874,able,bond,bondable
875,able,bonify,bonifiable
876,able,bonk,bonkable
877,able,boo,booable
878,able,book,bookable
879,able,bookmark,bookmarkable
880,able,boom,boomable
881,able,boost,boostable
882,able,boot,bootable
883,able,bootstrap,bootstrappable
884,able,bore,boreable
885,able,borrow,borrowable
886,able,bottle,bottleable
887,able,bounce,bounceable
888,able,bounceback,bouncebackable
889,able,bow,bowable
890,able,box,boxable
891,able,brace,braceable
892,able,braid,braidable
893,able,brainwash,brainwashable
894,able,brand,brandable
895,able,breach,breachable
896,able,break,breakable
897,able,breathe,breathable
898,able,breed,breedable
899,able,brew,brewable
900,able,bribe,bribable
901,able,bridge,bridgable
902,able,bridge,bridgeable
903,able,broach,broachable
904,able,broadcast,broadcastable
905,able,broil,broilable
906,able,brown,brownable
907,able,browse,browsable
908,able,browse,browseable
909,able,bruise,bruisable
910,able,brush,brushable
911,able,budge,budgeable
912,able,buff,buffable
913,able,buffer,bufferable
914,able,bug,buggable
915,able,build,buildable
916,able,bulldoze,bulldozable
917,able,bully,bulliable
918,able,bully,bullyable
919,able,bump,bumpable
920,able,bury,buriable
921,able,burn,burnable
922,able,burst,burstable
923,able,bury,buryable
924,able,bus,busable
925,able,butter,butterable
926,able,button,buttonable
927,able,buy,buyable
928,able,bypass,bypassable
929,able,cache,cachable
930,able,cache,cacheable
931,able,calcify,calcifiable
932,able,calcine,calcinable
933,able,calculate,calculatable
934,able,calibrate,calibratable
935,able,call,callable
936,able,camouflage,camouflageable
937,able,camp,campable
938,able,canalize,canalizable
939,able,cancel,cancellable
940,able,canoe,canoeable
941,able,canonize,canonizable
942,able,canvas,canvassable
943,able,capitalise,capitalisable
944,able,capitalize,capitalizable
945,able,cap,cappable
946,able,capsize,capsizable
947,able,caption,captionable
948,able,capture,capturable
949,able,carburize,carburizable
950,able,caricature,caricaturable
951,able,carpet,carpetable
952,able,carry,carriable
953,able,carriage,carriageable
954,able,carry,carryable
955,able,cart,cartable
956,able,cartop,cartoppable
957,able,carve,carvable
958,able,carve,carveable
959,able,cascade,cascadable
960,able,cash,cashable
961,able,cast,castable
962,able,castrate,castratable
963,able,catabolize,catabolizable
964,able,catalog,catalogable
965,able,catalyse,catalysable
966,able,catch,catchable
967,able,categorise,categorisable
968,able,categorize,categorizable
969,able,catheterize,catheterizable
970,able,cause,causable
971,able,celebrate,celebratable
972,able,cement,cementable
973,able,censor,censorable
974,able,censure,censurable
975,able,centrifuge,centrifugable
976,able,certify,certifiable
977,able,chain,chainable
978,able,chalk,chalkable
979,able,challenge,challengeable
980,able,chance,chanceable
981,able,characterize,characterizable
982,able,charge,chargeable
983,able,charm,charmable
984,able,chart,chartable
985,able,charter,charterable
986,able,chase,chasable
987,able,chastise,chastisable
988,able,cheat,cheatable
989,able,check,checkable
990,able,cheer,cheerable
991,able,cheese,cheesable
992,able,chelate,chelatable
993,able,cheque,chequable
994,able,cherish,cherishable
995,able,chew,chewable
996,able,chill,chillable
997,able,chip,chippable
998,able,choose,choosable
999,able,choose,chooseable
1000,able,chop,choppable
1001,able,choreograph,choreographable
1002,able,chuck,chuckable
1003,able,chug,chuggable
1004,able,chunk,chunkable
1005,able,churn,churnable
1006,able,cinch,cinchable
1007,able,cipher,cipherable
1008,able,circularize,circularizable
1009,able,circulate,circulatable
